,TOTAL_SALES,code
0,759,2449231451644551243315621622368932850436265152113266146484623446
1,8,1768872345043642252444378708221561865733341381365560656614114841
2,151,0437284223245442175406742444543621131173366933351303614692356373
3,1100,8930583608179936511119866123196330539318214093765239442213232822
4,245,6341774163484330316781993347768929435323688523865145827733579287
5,2,7791151623289027354833291663653584057352710416844389650420858954
6,1,7002336015513771504131248829219622420483353954166128624511763435
7,2,7396564455969411337154312345841515938098659496699485684222537425
8,280,7999134565533633203561264912158782511073555306993837532914543632
9,20,2513412191362655418214563623602452269447328751751992709445410546
10,742,7614827683226332350193693013363996704935623139262134914733963547
11,1018,8419362757025322563538012095332165388151515720267567152224709001
12,1570,3837844670155316258542624167445573584472921464514235467874535895
13,253,1843621428135119462534351149729196513654957318839512845557114439
14,1,9275215284130130327993383411603250686346433328131650336323310839
15,2,4224423265439161907328315404408333768358873764497655698431628611
16,1,9664683370556735895492618582766332819860556011386436563721551195
17,1968,2353693523021537393479754219814535133223636006139153640610774822
18,671,5232353581263317195701454562888429158423650483543354374486222348
19,6,4763323465095246751444822543252367094262036365463281828298746460
20,1,5738431134552223878518218335348125695374455343544453739653525586
21,885,4631663522382359412560632503511772606546934535114390339982336339
22,181,6525633834898544555532945135527589116683124275553232625753424914
23,1,4615625637315721444114473168846762722727827334265565554853430155
24,3,4979297204862527156455427126253663723544680624358663606392642795
25,1,0184715315036106693988541360619062379264141755131469309482614166
26,904,3566453123910614353817765544557162630263636652632430838525058751
27,2026,5312261676523377221956215143110757250151202666065128351593150337
28,3548,5741485121549407523655595166113442133532762454371966805212631683
29,394,7756447726167574465853537208622151655895447141205161874445248142
30,243,2635654300653344653039682340332191235100694447291024341145623636
31,2,7334967476281609113422614242175124137444213534379112465403850679
32,5,6454701435636933308916943166143743556532724241873694414107712839
33,158,2433424168857461731633348087585374495223654111642210512214361657
34,335,9559731335208124320855546950516413568853645234257332448526086405
35,35,1884163440194167644438414029933462814666857364272451121310581752
36,2,1435663412048242504451680654609471513087621684326586666442248064
37,1,1404485760842957869102645263215094173646949776186688051134032937
38,416,5144234511883821456452610442583518755252511816116655213565655639
39,455,8636164415657134351313511773831596464691884220691954626144431268
40,45,1911525409482581911807515652945555729235738496016228982131464217
41,1447,7662561616039031461547415129501237552311115313372431762415341593
42,543,5555426143236226162265193271735252301936820345955447338591473931
43,1297,8682325534123400716617731167126451064054446701524608264155485544
44,3058,5752555074725916631229672645154555240275519191141299613246805754
45,72,1286272693556694469542655481727118142911421423410238247940464659
46,8,4961483057552398218592845469497242745669915051563825427538564163
47,16,9611613937076530709225744641198722542828940014624143570632654116
48,4,4515544529366134167444175252686345513401200395856003884373246123
49,525,1143191432781335638160511617645855565624513113269264356904107305
50,741,7564616580612223758998522266351711635868485225646279748162595061
51,454,1342646540050701429865567673360095516431364276659426235445832586
52,2272,6401369753314197676263721117113319480288654676740225859278584451
53,1,4706456641959445345676962317953655423844493924137363392665659706
54,15,5983314055415962191649043333117172150241940627916546711322185862
55,297,6989935135992383137066873150294525444589744462081541225265327856
56,3,6515640986724347686282208256105612331125331511266024553511489584
57,489,1314567550381626424120697186343177753611804859634208370467003121
58,579,8525460427053446174656974082615644790124544646434665456445608569
59,1276,5623471196814924489155476360348718926752634156063242573426269486
60,580,3816454592594416644119359590313337316283154136130603213161556290
61,666,6427152458911782826653375228328866234612068387945755910404925767
62,527,3452632108933124514991144485239308062323640099238318534502599316
63,1,1837971792574561561196614217615384014476383203064277896515312471
64,2908,1567541535727324913408542405454861322362726373149524671713530561
65,2402,1625631034395022325063369276626864320251815077311672246121634646
66,3,3524684654064226413167623665552447215646125193074776215629111244
67,277,8464766093533953374936656708080591996105790775415725069994498515
68,1,3149367655536975615502915491355943245314435313622515546316894429
69,320,2852641682696565130364589038790447962874666490242702712358583654
70,105,9416262539313547026892614123264121728564885403933135866335516214
71,1,7842909622042341631268021495655759026031827100336223620213570823
72,1,6013266422452731657776033353291637680605445362565233456692664033
73,23,2497097154350617282245206352606239152543454446908996425180638913
74,1002,3432285283623345251551894109644846644607159355931627529409121025
75,2371,2314173623262555140332686465256422536854662136215066484534771507
76,8738,8402323892843345130694332255048477388134292603131263338563231115
77,139,0839756086457045045487521976708267733113668384230824125419477426
78,445,2223354971019034934452616226831668996162957430752303937637634834
