,TOTAL_SALES,code
0,97,4445237360145440420514913233142753262708311452273421555864567116
1,787,9127532663668532376266345553284836154745416295901555140435669570
2,352,2035520004359382241243105656672291182365957220863800064547846106
3,2154,6928131121454645005419016347132636155214307325334330465267991366
4,14,3129124455321091244211724696446484638461330944139405161430960340
5,1,1563433339690308367596318357238201312626314243243562837376672031
6,2,6486423788654602544832123251245461221641300651700666342704592322
7,4008,3455835134953185205332718615270712373628446267121214330377232381
8,2359,3504642282226073456121524308366723303116665494653844632451681638
9,516,3822111279324245314027648173494155268813482596537455192524396225
10,5,5518259131585652593961825646035394679346666006127613528113967517
11,305,1672613392430333113776377554616720183278276373233213756361465452
12,1,3945343371926905969073651509601752515067412112266474852452956696
13,6051,4635154541582957663949367332438330993102153121436654851529042092
14,2,1210626526355555645451765672454815135441324295209542309301194363
15,4,3551558463521450461345401106633262769295262318501286115605401559
16,14,6732522615605429495647514527872351171162338123445023120319562113
17,4,4241823874909150504021545633747535759644119347239535318983546212
18,15,2291261547442619239139213450362323451792221229232934888427249375
19,1,7083346571245651355654142700908258201658471246420740153607565066
20,171,4992395817933957725114047284710199262580501214230837365165340278
21,3,2410216953198252641116666734091661064964463469354885221632526765
22,3359,2541621453173331788095541582232125794240985486932719632667235133
23,4,6982354331691421380511521265738024048284964514122165248340402411
24,460,6601461534476654886594336537726365436502712661442829076205617450
25,153,2105561057632397132537464677612337435314181385119482623384126833
26,11487,5618515144421610753324587425265833795548829457477818560721631731
27,725,0274694512964953536232376295540445126683536426955148466421177424
28,1344,8419362757025322563538012095332165388151515720267567152224709001
29,1,0847324924144868452691091385554429628375015828665583186396700625
30,14,3222630257851254999324629111615776536465957673246040138865921121
31,24,5306366204249516821763133953835422780813295143132175600010169753
32,2065,0495116894674276158025250011861408116538246526173713235431189265
33,7,8231314126301823604633515342579134406640238271303763235911334685
34,624,2965655920715367627764566273353021386486356926266069535059620082
35,6,1149875349318365358161487626196672901750633133311584112392542551
36,2555,1610613639326151601433347041222141184322113265313045454192593311
37,3,8467424194325285625181610616265225539897432161760930502695802110
38,272,2691144474630346546100157650511131622049553429533545159603285232
39,54,0634621839226594119852851834339120794445761964264460444251881349
40,17,9548141323659851663655516402792947023169861147145932768343184136
41,15,8153339645457662435544917166638194943714964474363325719728646871
42,1,0581822144216894438312384304953088933228115233390110546616231959
43,2,5031662561264740472225965670556026448586434122103326321325014037
44,4,6880420304498262760523717114044162466452137860534158354155674571
45,1,7436561183616567562031671413473312215166656266958539569112515516
46,1,9202141555314348637996564326506636125137536560964439641631336619
47,1,4477965325312101461220836121227526641849122909503052553346332206
48,2117,2534536201131442489037166619366520123253514246531282002055683513
49,186,1406013152000793219233424419723132637334571751125141864151613692
50,512,4467978321585192764402405761429629061221067620203233631438353031
51,59,0659738850648659984641113761556595255497173288901238271166453241
52,28,7116914434240241195244655453176321566415560549118632023612531258
53,4598,3455788842725114546881541422973853683266619648816491331427439604
54,792,3022735646616463254560499142736488312294955011641766131164485675
55,5,6292564263476769944586316136322301818624643239477719048755455250
56,1263,4031327964223903502671753682625902794861643746558586954838294383
57,158,5555535656682622330195805710512152172580560879120056839425567190
58,6,2952600482194349424896650255223284800864612551436551642466336659
59,1880,1393811568693465801823216142535331653637202232646772624726752212
60,2093,7506281613396412254123142911960531214345181466744284813729614006
61,32,4155136916364448915804963557535263562615165445779151660152303603
62,1622,2586654062105002522425215042563236321215236539269202035821126110
63,2,0324072511637191635881236540630873163422276574736105349134916276
64,401,5255587375624389373457945362549104133335922419560654792214352243
65,4975,4269527995720526482585126155171323359103304822419436157012911346
66,2065,6453240386767599545654343473214153373102351446074031069656083564
67,6210,4346135596180803449504213440274323931552816703414028038638831896
68,12,6342726276658791126460245163555615932224610466576336160356355231
69,12,4511153962155173136583690715865904817932431550214111846230158264
70,3,4904326618631152143418530107435398137746161236161305632656443500
71,2,6040923046647905363861843564403260760361533398664710321571933364
72,1,5764424583642012724364565905863392135215332154310243522691041662
73,5,1330143501016021033756463541404248626113997496025357805935925254
74,2,6631550304406655185916472014461145518125854155844186454742619392
75,3,3232321994369506111729519708864395993714542854881018023183941531
76,3,5492695855226844146340338948631242807340215433345546862744496495
77,1,4150292286405754230313789251127822206647152820355663990426163999
78,6481,3775113243582860320954529282623769344146442136570865531343678640
79,1407,3163526316458322824386631415285165269546842535494575676273918674
80,9943,8202694162266326461642684632912495813252466316515571719984787566
81,2780,6574575681413832019281349545653225568312928234396052685195440157
82,9,5442266232234414230361143812441185645033282452531665359657234376
83,423,9894209492444613156454144454014352648484365996486545554152694082
84,78,5451620418131336634865089171766925287137144144232364276843256254
85,1766,3598759563406320123056263531854674323845359252335113895618669442
86,15,1445163138864228539247167773994676231375039441466467612244435068
87,6,2566543713676584137356244705951428410643121428254973943893921605
88,96,7350537614598541902202701894357334421546381734142293549534965756
89,16,2186926935063370554374343547581952445817366065825217743533227322
90,2486,3355282645104166474015896115315414962191354742132623562235268431
91,93,5251175163114415547445918076412176036252137128524399993105623624
92,126,6451062616325441142445574396847807765335338744556515517024419913
93,852,6966922322555209591784351045062281995444323361563425962430695633
94,889,7753330457124677829355711362682837318354428542435328233023943454
95,3101,3262392444138946521723446641209073864027630214360235865599528339
96,153,6439371521311566482331912855332045626760858603856226384563512456
97,5,2749881530146599264653226543668508853151320056990214155182249015
98,6,3244250233552433514549183389435499518831661414368251483414665267
99,1,2290802736275801193289158202864643077136082983532351647215844959
100,7,7380685331520614314214593588525312437719388301313469223790945366
101,3,6224523922984191908554236748967343555955579995068346468150765556
102,3,4716694255845289310946241133521173353966154596155246301942164805
103,5,7683602312340611963326191314290552613613840225418536449328345371
104,256,6551191647453675436524832534716290356555346838214216312395635421
105,312,3326668614123261895275682543053180264006823055031629653384798452
106,770,9141122547773678463500257404508477422265211355354114235412372841
107,1810,3313337993733739104503754749411541515033011334458859636836736615
108,5469,3245120431458830634160105426538874033725905619962312093221495644
109,204,4145439974516182528290230633533918341937761115565694248775315991
110,15,9223559253243401521555085221373510337441442436882624721122663482
111,3525,6787605601232565719303544260946511864512365178685812385350734114
112,1421,3672818425143222560062147450532945411133476642054724168361422669
113,380,2159629530226123233256018631335544066931536653713132368714276583
114,392,6930295481479466746581487388667271083102626596800097033306010619
115,1,9084047236356336134231829496140173828252441335521063322440591138
116,14,5016614822298015382636474112796412541512326555506765660554317315
117,1,7263163452229487561232124452124612395832231665026524963522346434
118,1,1221111477194794545295530446842964490417567615122788765301231786
119,8,0516111508691457231185195160424826299133751935490525641027162573
120,2,8265902331426674133845335635319166854751694630455979018840311430
121,7,2311310040557437659340524716413046182352268162519199442025471643
122,1,7525116369967216244573663652293169352551534566036001348614141605
123,2,7674126163645286662148920521513122374296621039301610841882672156
124,4441,9309535308565644186662239933509581823502654211477259962263602645
125,1746,3141691632163200366912163533467263823526337643653661957565614223
126,1015,3341614932490356602264556011125111509670514151942116956431206384
127,2242,2306966291095093266129876469241365040160541506433721593942118174
128,103,7132548733561312960703562715730122852137204416633848030832191895
129,521,4293342702544032705195319232573924575504537923682505292852223297
130,3,5686281303348541418083255138296595151334724890161841131257458082
131,1,7266364541343411506475115017123167259706752515725541738473226938
132,8,6145983518122069515891647824345297262549146573363651154553325743
133,3,2413411730134339501444455242957276528499834103184160586218425860
134,6,9266305334448012904671659193187675655521696761738363893850286043
135,5,5525312331383303523544138042347612499601343766474946571125178350
136,1,6931642154322563713369561746159587384934344095014592646261455492
137,2,4146565237569196999464323501661529028736575451694113340376096404
138,3,4858706125476666687734095815440821703707936541048262037479134332
139,2,1137426355432924730225159148253522645061349225336244460164621465
140,14,4612733198369925950954143486685315247252636037550356667043285449
141,654,1238554321631473674301975435782187581259905405157654146619177551
142,189,2927557829516200992360978360516448260287616393478836731319543329
143,6661,9842421031614307624715333354305136756605416413236010753300155266
144,392,5398455761502669657939153364291870567123412653544778327177303132
145,21,2355621365747324682851633068661285931044024632074417476246403164
146,313,3351556171496081246816625180952351452646282329154443522188456105
147,2550,1047545673483550628362136414426942145760296571595418402234326509
148,290,6246911161756514502118515613432724353301126365967157554605264201
