,TOTAL_SALES,code
0,682,9309174674228414410913297381119203415189011091628621956466165555
1,2974,6164973432710058398307503963535326651523272644155241546805393173
2,3275,9597708362633674663233295265391728344314353574432947468810436958
3,7528,1183694952651203198233063657183220756156745292181026831542565676
4,6200,4551348662263720362722511263663032698101613568842595353224411922
5,3186,6563151841223565575202052425763416320297270213609329854204134414
6,195,4546469165166341572211393886630635443796996755311840337323152792
7,9320,5474454959674240616125265734552436529450620001133017121879645342
8,33,6538785185156783338787083273353354161563215364966545784185115117
9,6893,5505606535211272157231366349532193612114913751304112171215925534
10,1,0481035681947159628824158973928456303915164466834443734564544502
11,21,4572035249747540350455366051141441285966458387536206322171343425
12,5200,2592841242129210021224234692500587647815976850958179749278235536
13,96,9339607928135642865388871484243735711825723263691684350831366181
14,117,9352881190632891527576318663351757863273312314547353602345462492
15,2243,6713115664714472330975788365564394416393232226580993451344131999
16,3,0044150221234854253116315414621066456742287210163341623372319645
17,772,1717690338463253311341196925964259261815566352251803110525564821
18,108,8115360903435869245860468535433323803454291146187256406022134535
19,168,3912472485751782311394109512247355943038178250949568334638468863
20,411,4734441424854915684640270721638380323944696753633643466868054492
21,631,0556569113434325304641976316035736716301665764219931626238935079
22,1515,8033419686677332055671944769724033674961759242425169650542534550
23,8,6517203341736456771009572138559156261485211264382552639143123494
24,9,3582226984336294425686629216914266638714380135398419319739611565
25,180,7234655365264317655369144453234084530932371354369446836725396454
26,3,5826435116230852225389612457663601132511519142148772915534554410
27,26658,4431671385831502911397125786542025189905545450623651526331144202
28,31,6115561923336273247436064306450336771340444321932631543125641530
29,70,2054624346440114256925416055161644616224954455560563684123671525
30,161,0261029608558670921057629512647781523224859330845354541665865996
31,2440,5721143216230761391466342536909411569373152460486565163347334517
32,17630,5625432816589212158683991160249313953141802116879696315144282131
33,1366,1313051059567643251696971359334662134135612432076638536160585572
34,209,4617485307215306213825624564477366512234720813245695411344201261
35,7,6611486713554527035112547322501429131854033783518443370635572666
36,1,4268311353063602213541104911777850109832816412564542880165232331
37,1,6929583534622465138693198316597535658566385316776111198340266538
38,1,4408668445128252166341073551628490823246172106681962615451565403
39,1,3584277340669546389344395459221652364446656944564294029212355696
40,4066,5293351964422114369888624411526921568612823279049064353643914442
41,324,7511761606313655695525636516636642963211216063660828311251308545
42,287,0222283388532828170093230118230150862459943561256328945131632271
43,38,4339519443456040523736962985220814511166415126437416264120312724
44,222,1366396841243266393109342274414758158839538617190742334321257116
45,91,4820911841864409116149485233418208192863021653222310754138638223
46,311,1483533256893302543627168332463155431245315312607899622243593062
47,6077,6781069635242386365327642621422473613638943542602129506500676243
48,2,0237343957496334121545452925439871651212752505236111715324055253
49,57,5447356506423255824252315421156779481383356084824796173798244156
50,1605,3691172511089268128638534072201557866015213664093133856693240120
51,465,5743529223865354228412585323542725147865432219805303693426090879
52,8916,5180676951325221341733307461335326680388413311710984460527535565
53,149,2817591292831152224273563248176314437770323321275525752881312576
54,89,3451151556352245349596827916634632817449865366503372569615758254
55,2,4624144492023540492456606220572197410216155531632282704450130075
56,2,8375454475542669410455022550260075843844456025326105236229015402
57,1,6475556391167146567124727432082664363721602374747764921663604141
58,297,9633224015642231209805156391240217084339512444482760880344856729
59,129,5555743769996658172512020540258022212994178383470558714630102012
60,6073,6302543563074514314457234548822344734983480675834487252560654532
61,7241,9105399804743102924955861186145180624831867723039453455712150733
62,86,4321665925455436932593563752525318917459254112215412154293121111
63,91,1833662364225445783025886213796633659103041105235616265211353793
64,458,4806582342683462936224686812332457562100044552312556936132732456
65,10,3257146512941218212621551464275997656428263629302142654231398931
66,2,3642264726186215490858694473734196285421482951307694429225707524
67,200,6255624457773660379453432823666239625022146255764846441319538092
68,4118,5813658636625835623425075661365366011181856821945104236413401009
69,35616,5544442243802699391636445925640209142507950029343636397408122577
70,17714,1564691112266388844198168146336142950591391386055749495295112682
71,1865,2140333395364752061239716245345512134713351651651350506555008958
72,619,6840414459841249341678101951123263866492724981863406256133655336
73,319,5232226201583640392585615073242746854268452346548432451547089325
74,3008,4384208192331480496359092115237946644532107118435025181770011386
75,5741,5944669552451331423056129666464950041150516137865926853122711502
76,108,3822036350412926458269126379530015623263034211346248901446107535
77,7,6778398642244357135065451657851131111468958546655265341734241445
78,32,3361345441125234544983244654380361599116122222746785842661390520
79,65,7234591528781922745652209330455575039441852435475724042949145410
80,1,5962692486653711072279336855524333154751166274819902742747331382
81,3,3326117545174203312666301515361422642555124888652651868053225360
